country,variable,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019
AGO,entropy_services,NaN,NaN,NaN,-0.54659860786461,-0.545120558071795,-0.544744191194996,-0.557221004784164,-0.581746569877955,-0.610249185952293,-0.625538875214877,-0.637686088123142,-0.619220739216009,-0.628950011120381,-0.622006761792149,-0.617281003402852,-0.620745131361989,-0.602077489448656,-0.597146829946724,-0.593323342315398,-0.581124231610029,-0.57079504371715,-0.549303830220519,-0.519989620536813,NaN
AGO,fitness_services,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,service_exports,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,gdp_pc,4551.6503810052,4728.1569239722,4792.68416271916,4740.66923573176,4727.96631394756,4766.83673589953,5240.8394329332,5218.20771212651,5593.24362419081,6210.2221878264,6681.10102767941,7341.86519904765,7864.37457862612,7643.49578596548,7692.43428623311,7675.44608452759,8036.69240208792,8140.52597328045,8239.8306720725,8036.41089824639,7568.99816818809,7310.89658895511,6933.49993413352,6670.33145836633
AGO,nat_res,4031813527,4042095413,3291264208,4137973825,7008157938,5787834645,6950106806,8143352830,11216840597,19460912732,28092748199,42857220411,60142624451,40078455927,51298892250,66610745004,73763842900,70870893789,60793441581,36593795864,30392972755,38271448969,43209014617,36414950703
AGO,hum_cap,1.912,1.944,1.976,2.008,2.04,2.076,2.112,2.148,2.184,2.22,2.288,2.356,2.424,2.492,2.56,2.652,2.744,2.836,2.928,3.02,3.174,3.328,3.482,3.636
AGO,ghg_emissions,54669.9981689453,55459.9990844727,59689.998626709,58639.9993896484,57639.9993896484,57750,60209.9990844727,65720.0012207031,67430.0003051758,66959.9990844727,65860.0006103516,70199.9969482422,72680.0003051758,73800.0030517578,77730.0033569336,79150.0015258789,77400.0015258789,81089.9963378906,82389.9993896484,87360.0006103516,85910.0036621094,81010.0021362305,75239.9978637695,79680.0003051758
AGO,embodied_ghg_emissions,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,gini,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,population,14400722,14871572,15359600,15866871,16395477,16945753,17519418,18121477,18758138,19433604,20149905,20905360,21695636,22514275,23356247,24220660,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299
ALB,eci_trade,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0849862933554538,0.407708637249021,0.383244739702681,0.376434633995681,0.236424912392562,-0.156861142852863,-0.183072747101725,-0.313335558598939,-0.344756710827804,-0.316315607731488,-0.270206028267964,-0.290881000811473
ALB,eci_trade_similarity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0234385057186576,0.0625500024683573,0.473141060209658,0.505928153091222,0.104755516497755,0.0823001597920542,0.0361596603565672,-0.0489258178729378,-0.0561447622158849,-0.0415000886808777,-0.27112981266324,-0.189801863389276
ALB,hhi_trade,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0224752477122851,0.0142960553307124,0.0150888202059554,0.0178902465106244,0.0257177555588334,0.0559791103306854,0.0624751395670876,0.060644304864499,0.0545313204928961,0.0427396431152291,0.0394033034520586,0.0399443328843821
ALB,entropy_trade,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0219119679174727,-0.0140791868147462,-0.0148552137833276,-0.0175345286281716,-0.024888115757062,-0.05234822829404,-0.0579919772210414,-0.0564637888361608,-0.0512898019933365,-0.040889416709094,-0.0378009838067958,-0.0382618391782475
ALB,fitness_trade,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00104830835719,1.26008491791657,1.26231440999309,1.21473669159161,1.06899882609802,0.741854302012775,0.750825340511508,0.724238700675142,0.731816798242668,0.728834313580369,0.76059721389562,0.732757513300856
ALB,exports,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1309660337.25,2063949172.25,2285077450.75,2527050996.5,2485015059.25,2204277338.25,2345450000.75,2310715600.25,2339684114.75,2275987994,2352997861.25,2503803322.25
ALB,eci_research,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.51586279820414,-1.52119620908969,-1.7814913362698,-1.30485676983343,-0.831406876302483,-1.23661804120499,-1.51099110580353,-0.947310884678899,-0.735094059868169,-0.100313986365569,0.0765246962699525,-0.344127742321194,-0.640070507676166,-1.00090674569855,-0.650527028171843,-0.435775580343506,0.0277278700139296
ALB,eci_research_similarity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.51586279820414,-1.52119620908971,-1.61001725070254,-1.92833597085078,-1.37471285143741,-1.86960214532605,-2.10051067810947,-1.28086408840745,-1.49044642332944,-1.50900711460948,-1.71421207731635,-0.970652401245581,-0.923806926626223,-1.13924026776317,-0.648104588217701,-0.507645493542054,-0.594909158896927
ALB,hhi_research,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0.42333984375,0.309903047091413,0.300725248777197,0.307137573964497,0.424297520661157,0.345066666666667,0.310443565181175,0.354572204617474,0.382823823406914,0.205761451247166,0.142023575606787,0.186819555555556,0.140034424979966,0.130367973372781,0.323121131580198
ALB,entropy_research,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.693147180559945,-0.693147180559945,-0.344598997591559,-0.264290696582704,-0.258208728429385,-0.26315605417324,-0.345825627523068,-0.288548755892095,-0.265129828486289,-0.292559274945473,-0.318394187949158,-0.182014642848259,-0.128987689888837,-0.163705014595781,-0.126030906134219,-0.119272297704613,-0.265189127324124
ALB,fitness_research,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00413573120871925,0.004171310394891,0.0198975571894656,0.0262476234316403,0.0285440584348555,0.0272963669702654,0.0172050011468926,0.0272295841201372,0.0281092347468011,0.0528805756850312,0.0484978420366286,0.101232350277941,0.121454814881636,0.0937329040269979,0.128775123423211,0.130729889045372,0.0637750576459359
ALB,documents,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5,8.75,16,19,19.25,26,27.5,37.5,49,47,61.25,131.25,196.75,187.5,239.75,260,130.75
ALB,eci_technology,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.769830768124296,-0.7181856247759,-1.05854800153908
ALB,eci_technology_similarity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.966202186099342,-1.10631228279449,-1.23646752419333
ALB,hhi_technology,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.036420395421436,0.0377777777777778,0.0432
ALB,entropy_technology,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.035719234916742,-0.0370229825982683,-0.0422399393919091
ALB,fitness_technology,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0398494526130492,0.0407444093983198,0.0284767598590281
ALB,patents,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.75,7.5,6.25
